NM_VOTAVEL,VR_RECEITA,DS_CARGO,QT_VOTOS,SG_PARTIDO
VANDERLAN VIEIRA CARDOSO,2751000,PREFEITO,398775,PSD
LUIZ ALBERTO MAGUITO VILELA,1569881.08,PREFEITO,494691,MDB
DIEGO VAZ SORGATTO,1360460,PREFEITO,48061,DEM
TALLES ALVES BARRETO,1196260,PREFEITO,5689,PSDB
ADIB ELIAS JUNIOR,1124780,PREFEITO,28984,PODE
GUSTAVO MENDANHA MELO,1114413.97,PREFEITO,197491,MDB
RUBENS AUGUSTO NADER,1003232.2,PREFEITO,14036,PSL
ADRIANA SAUTHIER ACCORSI,1000248.7,PREFEITO,80715,PT
ROBERTO NAVES E SIQUEIRA,942029.1,PREFEITO,183488,PP
ANTONIO ROBERTO OTONI GOMIDE,928429.2500000001,PREFEITO,114889,PT
ELIAS VAZ DE ANDRADE,913899,PREFEITO,24626,PSB
LÊDA BORGES DE MOURA,846076.6,PREFEITO,20559,PSDB
EDNA APARECIDA ALVES DOS SANTOS,800886,PREFEITO,15142,PODE
FLÁVIO DE PAULA CANEDO,799833,PREFEITO,6721,PL
SAMUEL GUILSIMAR ALMEIDA,766978,PREFEITO,7383,PROS
GEORGE MORAIS FERREIRA,749039.5,PREFEITO,14942,PDT
JOSÉ ANTÔNIO DA SILVA NETTO,731512.0800000001,PREFEITO,8054,REPUBLICANOS
PEDRO ANTONIO DE OLIVEIRA GONÇALVES,712545,PREFEITO,16803,MDB
JOAO ANTONIO FERREIRA,707912.44,PREFEITO,16768,PSD
SÔNIA CHAVES DE FREITAS CARVALHO NASCIMENTO,703608.22,PREFEITO,10988,PSDB
PÁBIO CORREIA LOPES,701450,PREFEITO,29241,MDB
CRISTIOMARIO DE SOUSA MEDEIROS,686452.54,PREFEITO,13364,PSL
DANIEL SABINO VAZ,685967.37,PREFEITO,9902,DEM
LEONARDO SILVA MENEZES,653860.09,PREFEITO,17646,DEM
CARLOS EDUARDO BELELI,641592.7,PREFEITO,4027,PSL
GUSTAVO MARQUES DE OLIVEIRA,617900,PREFEITO,18158,PODE
PAULO FARIA DO VALE,615109,PREFEITO,45580,DEM
OSVALDO FONSECA DE ALMEIDA JUNIOR,612150,PREFEITO,37402,MDB
ALEOMAR DE OLIVEIRA REZENDE,572900,PREFEITO,17857,MDB
WILDE LOPES RORIZ,571900,PREFEITO,16728,PSD
TIAGO FREITAS DE MENDONÇA,541725,PREFEITO,9708,DEM
JOSE ALVES VIEIRA,519374.7,PREFEITO,11104,PP
PEDRO JOAO FERNANDES,506286.33999999997,PREFEITO,6301,PP
PAULO ROBERTO DE ARAUJO,483066.51,PREFEITO,5040,PP
DIONE JOSÉ DE ARAUJO,480837,PREFEITO,16640,DEM
MARCIO AURELIO CORREA,457187.89,PREFEITO,29044,MDB
DIVINO PEREIRA LEMES,452860.04000000004,PREFEITO,17279,PODE
ADELIO ALVES PRADO NETO,442933.67,PREFEITO,4577,DEM
VANUZA PRIMO DE ARAUJO VALADARES,437746.98,PREFEITO,7668,PODE
MÁRCIO LUÍS DA SILVA,430000,PREFEITO,7623,MDB
MERCIA REGEANE LIMA DE OLIVEIRA CESILIO,429136.33,PREFEITO,6785,PTB
HUMBERTO DE FREITAS MACHADO,419624.91000000003,PREFEITO,23546,MDB
EURIPEDES JOSE DO CARMO,419600,PREFEITO,7266,PSC
FÁBIO CORREA DE OLIVEIRA,388250.95,PREFEITO,15127,PP
FERNANDO PELLOZO,387430,PREFEITO,36807,PSD
CARLOS ALBERTO LEREIA DA SILVA,384289.77,PREFEITO,8775,PSDB
VALERIANO PEREIRA DE ABREU,382913.85,PREFEITO,7237,PSL
MARIA IDALI DA SILVA BONTEMPO,381800,PREFEITO,4549,PSL
MARDEN GABRIEL ALVES DE AGUIAR JUNIOR,376650,PREFEITO,21930,PATRIOTA
MARCIA INES ALVES NUNES CALDAS,370800,PREFEITO,6235,AVANTE
ADAIR HENRIQUES DA SILVA,368004.12,PREFEITO,6224,DEM
ANDERSON DE PAULA SILVA,363590,PREFEITO,13793,PDT
JOAO ALBERTO VIEIRA RODRIGUES,361845,PREFEITO,11365,PATRIOTA
WALLISSON JOSE DE FREITAS,361437,PREFEITO,2019,PSC
JANAYNA WOLLP DA SILVA LUCIO,356726.61,PREFEITO,7572,PSC
GUSTAVO KOPPAN FAIAD SEBBA,352500,PREFEITO,4869,PSDB
KLEBER LUIZ MARRA,350845,PREFEITO,27099,REPUBLICANOS
JOÃO BATISTA GOMES PINTO,339500,PREFEITO,1291,PSDB
ROGÉRIO REZENDE SILVA,338652.94,PREFEITO,11491,PRTB
PAULO VITOR AVELAR,337452.45999999996,PREFEITO,10499,DEM
ROGÉRIO PALMEIRA ESSADO,333000,PREFEITO,4397,DEM
ELDER GALDINO PEREIRA,331210.85,PREFEITO,14356,MDB
FLAVIANE BALDO SCOPEL BARBOSA,318770,PREFEITO,9133,CIDADANIA
