NM_VOTAVEL,VR_RECEITA,DS_CARGO,QT_VOTOS
MARIA APARECIDA DOS SANTOS,698089.58,VEREADOR,123
SABRINA GARCEZ HENRIQUE SILVA,564830.29,VEREADOR,5891
PAULO ROBERTO DAHER JUNIOR,304250,VEREADOR,1242
GUSTAVO ALVES CRUVINEL,285648.56,VEREADOR,3478
SANTANA DA SILVA GOMES,220800,VEREADOR,2540
BRUNO DINIZ MACHADO,202283,VEREADOR,4632
DESIRÉE PEÑALBA MACHADO,196370,VEREADOR,1605
ANSELMO PEREIRA DA SILVA SOBRINHO,195005,VEREADOR,4574
HENRIQUE ALVES LUIZ PEREIRA,192718.85,VEREADOR,4372
ANTONIO PEREIRA CARNEIRO NETO,189542,VEREADOR,1903
MARTINIANO PEREIRA CAVALCANTE NETO,174982,VEREADOR,1007
WELLINGTON DE BESSA OLIVEIRA,166165,VEREADOR,3370
ELENIRA TATIANA LEMOS VIEIRA CHADUD,165000,VEREADOR,1801
JULIANA MARCOS BRAGA,159900.65,VEREADOR,1477
DJALMA GOMES DA SILVA,147287.87000000002,VEREADOR,85
MICHEL AFIF MAGUL,123255,VEREADOR,3750
ROMÁRIO BARBOSA POLICARPO,123117.17,VEREADOR,4541
DENÍCIO CÉLIO TRINDADE,119856.98999999999,VEREADOR,3937
PAULO HENRIQUE RODRIGUES SILVA,119093.51000000001,VEREADOR,2583
GOIRAN SEGURADO BESSA,118920,VEREADOR,825
LUCIVALDO TAVARES MEDEIROS,118529.55000000002,VEREADOR,2290
TALES DE CASTRO CASSIANO,117816.5,VEREADOR,1148
MARIA CONCEIÇÃO DA SILVA,113000,VEREADOR,40
LÉIA KLÉBIA ARAÚJO E VIEIRA,107400,VEREADOR,3222
MARUSSA CASSIA FAVARO BOLDRIN,107000,VEREADOR,1575
PRISCILLA NORGANN DE SOUSA ROCHA,105662.5,VEREADOR,4156
LUCÍULA CASCÃO CORREA,100762.5,VEREADOR,5982
IGOR RECELLY FRANCO DE FREITAS,100075,VEREADOR,4179
JAMES GONÇALVES BORGES,98627.5,VEREADOR,1398
WILMAR FERREIRA DA SILVA,98549.22000000002,VEREADOR,103
ARMANDO FONSECA FILHO,97962,VEREADOR,2522
NOVANDIR RODRIGUES DA SILVA,96720,VEREADOR,7247
EDGAR DUARTE GOMES,92928,VEREADOR,2905
RONALDO SOUSA CRUVINEL,88969.35,VEREADOR,1590
TIAGO RIBEIRO MACHADO,88849.05,VEREADOR,856
SILVIA LOPES DA SILVA,87636,VEREADOR,666
SAULO INÁCIO DA SILVA,87000,VEREADOR,871
CÉLIA MARIA DA SILVA VALADÃO,86876.4,VEREADOR,1276
JEAN CLAUDIO FERREIRA DANTAS,85980.5,VEREADOR,26
AGNELO GOMES DA SILVA JUNIOR,85648.95,VEREADOR,329
ERIVELTON PASSOS DA SILVA,84227.8,VEREADOR,2105
PEDRO COLAÇO BRANDÃO,83477.5,VEREADOR,179
DIVINO RODRIGUES DOS REIS,82750,VEREADOR,2792
MARCOS ANTONIO DA SILVA,82175.05,VEREADOR,4083
ELIEL JOSE DAS VIRGENS,78910,VEREADOR,1331
GIOVANI ANTONIO BARBOSA,76714.8,VEREADOR,2329
ANDREIA REZENDE DE FARIA,75060.99999999999,VEREADOR,2841
LEONARDO JOSE ARANTES,72195,VEREADOR,1799
RODRIGO SILVA LIMA,70593.35,VEREADOR,727
ALESSANDRA ALVES CARVALHO,70000,VEREADOR,24
MARIA ALCIONE DOS SANTOS,70000,VEREADOR,317
ANDERSON SALES DE FARIA,68240.25,VEREADOR,3743
NOEMY PIRES JACINTO LUZ,67444,VEREADOR,12
GIANCARLO SAID RIBEIRO,67403,VEREADOR,4729
SEBASTIÃO DE SOUZA PORTO FILHO,67290,VEREADOR,3919
ALFREDO DA ROCHA ARAUJO FILHO,67021.95,VEREADOR,2043
ROSIMEIRE MARIA DE FREITAS,66945,VEREADOR,28
JAIR ALVES DE SOUZA,66737.35,VEREADOR,2237
UBIRATAN PEREIRA GOUVEIA,66421.12999999999,VEREADOR,2612
GIVANILDA DA SILVA FELIPE,66290.8,VEREADOR,894
JOSE MARIA DA SILVA,66252.87,VEREADOR,953
JOSÉ ANTÔNIO DA SILVA,65932.12,VEREADOR,304
TELEMACO BRANDÃO,65410,VEREADOR,2888
LEONARDO VELOSO DO PRADO,65100,VEREADOR,1171
ZANDER FABIO ALVES DA COSTA,64256.45,VEREADOR,2542
VICENTE JOSÉ MANTELLI,64026,VEREADOR,1084
EMILSON PEREIRA,62895,VEREADOR,1615
LEANDRO RIBEIRO DA SILVA,62848.2,VEREADOR,3441
THIALU RAPHAEL GUIOTTI LUSTOSA,61851.16,VEREADOR,1884
GEVERSON ABEL DE SOUZA CARMO,60953.6,VEREADOR,3060
MIZAIR LEMES DA SILVA,60242.92,VEREADOR,3621
